product_id,product_name,category,price
1,Product1,clothing,1443.55
2,Product2,sports,4191.12
3,Product3,clothing,4481.08
4,Product4,sports,3001.96
5,Product5,sports,3256.35
6,Product6,home,1820.31
7,Product7,electronics,4975.81
8,Product8,sports,2992.27
9,Product9,books,4227.41
10,Product10,books,249.45
11,Product11,home,570.26
12,Product12,books,2249.97
13,Product13,electronics,2107.73
14,Product14,electronics,2888.44
15,Product15,books,2640.0
16,Product16,books,1691.54
17,Product17,clothing,3046.12
18,Product18,sports,570.18
19,Product19,sports,2917.78
20,Product20,books,2055.31
21,Product21,sports,1849.38
22,Product22,books,2150.43
23,Product23,home,2460.94
24,Product24,sports,1194.55
25,Product25,clothing,3200.82
26,Product26,sports,4064.72
27,Product27,sports,499.46
28,Product28,home,4697.6
29,Product29,clothing,2034.78
30,Product30,books,4542.84
31,Product31,electronics,1494.23
32,Product32,books,4301.69
33,Product33,books,1228.49
34,Product34,books,4369.14
35,Product35,clothing,2768.94
36,Product36,home,2519.09
37,Product37,clothing,4339.4
38,Product38,books,4782.59
39,Product39,home,3004.69
40,Product40,electronics,2290.38
41,Product41,home,1309.07
42,Product42,home,3446.87
43,Product43,clothing,2969.13
44,Product44,clothing,3648.43
45,Product45,home,3408.67
46,Product46,electronics,1567.59
47,Product47,home,1095.99
48,Product48,books,2589.66
49,Product49,home,671.92
50,Product50,clothing,1524.75
51,Product51,electronics,531.79
52,Product52,clothing,1687.41
53,Product53,sports,4805.57
54,Product54,electronics,421.02
55,Product55,books,87.5
56,Product56,books,229.82
57,Product57,sports,1544.4
58,Product58,clothing,665.84
59,Product59,electronics,3099.63
60,Product60,clothing,1236.2
61,Product61,clothing,2418.21
62,Product62,books,2149.25
63,Product63,books,1661.48
64,Product64,books,1947.11
65,Product65,sports,1382.46
66,Product66,electronics,4871.55
67,Product67,clothing,1486.01
68,Product68,books,4263.96
69,Product69,books,2436.46
70,Product70,sports,812.85
71,Product71,sports,2779.38
72,Product72,clothing,4125.75
73,Product73,electronics,128.55
74,Product74,clothing,2996.54
75,Product75,home,3605.43
76,Product76,electronics,1276.24
77,Product77,books,1666.25
78,Product78,electronics,589.43
79,Product79,electronics,2592.07
80,Product80,home,2542.71
81,Product81,home,1054.09
82,Product82,sports,1683.73
83,Product83,electronics,61.29
