product_id,customer_id,transaction_id,amount,status,channel
3622,31268,757,589.09,completed,online
1088,38476,1519,463.05,failed,online
4028,43402,4550,297.06,failed,online
1,49575,6421,1129.98,completed,online
2601,47147,6540,854.06,completed,online
2630,32961,9342,1016.44,failed,online
1684,28016,11191,1543.25,completed,online
1,43530,11247,869.37,completed,online
1,42104,13778,467.35,failed,online
1515,3123,14182,1141.65,failed,online
559,28603,18941,1025.72,failed,online
354,45579,22449,1801.37,completed,online
112,6489,22923,1321.29,completed,online
3236,2480,22930,1220.24,completed,UNKNOWN
4764,26616,23812,1663.67,failed,online
2190,37266,24487,33.6,failed,online
906,16083,24794,1888.36,failed,online
3671,39873,25905,1491.27,failed,online
1,15699,30016,1866.13,completed,online
1,1382,30479,466.34,completed,online
1,10674,32364,461.29,completed,online
3365,23100,35056,1680.94,completed,online
1,4748,38643,265.2,failed,online
3136,20821,39667,311.63,completed,online
4121,36114,41069,477.79,failed,online
4817,45876,47885,1745.96,completed,online
48,46536,49489,27.49,completed,online
1,25404,52317,1675.27,completed,online
2889,3122,52387,454.76,failed,online
1964,2492,54322,1036.74,failed,online
1693,629,55452,948.17,completed,online
4555,7522,56154,834.0,failed,online
940,101,59657,1878.7,completed,online
4972,7555,60287,989.83,completed,online
836,44731,61546,1211.65,failed,online
3613,36946,62725,1491.56,completed,online
3062,43495,63960,1930.87,failed,online
1383,32428,64906,389.68,failed,online
3350,5559,65912,332.62,completed,online
1043,44489,69572,1526.32,failed,online
2643,14341,71027,1628.64,failed,online
602,29327,82286,1403.92,completed,online
1,9183,82571,318.68,completed,online
85,6306,88084,342.83,failed,online
1097,36555,89260,1113.82,completed,online
1,43302,91212,241.99,completed,online
1933,11050,92772,771.55,failed,online
885,12326,92803,1916.41,failed,online
2921,27521,98007,1811.28,failed,online
3363,41322,98870,1748.72,completed,online
1297,18131,104139,332.11,completed,online
1,19259,109656,1459.75,failed,online
1,3644,112293,630.96,failed,online
3030,48895,114649,376.03,failed,online
2412,46379,114810,1460.67,completed,online
1898,936,115255,1469.55,failed,online
2404,27582,118804,966.27,completed,online
4525,36278,119504,82.75,failed,online
2621,23920,121176,1081.46,completed,online
4163,41674,121673,549.59,failed,online
1,35089,122542,1858.83,completed,online
1,10765,123400,1638.54,failed,online
740,25271,125905,1588.85,failed,online
3946,38467,128408,1962.73,failed,online
1594,11420,129449,252.28,completed,online
1832,9456,132085,862.69,failed,online
1,27535,133056,704.07,completed,online
3212,26889,133116,544.04,completed,online
4018,30123,136856,1084.46,completed,online
880,32299,137568,1295.7,failed,online
1622,10412,139850,65.61,completed,online
4203,43448,141516,1460.24,completed,online
2998,49975,141829,113.01,completed,online
4271,10772,142165,1520.0,failed,online
1,3713,146184,698.85,failed,online
3146,15421,147124,154.97,failed,online
