transaction_id,customer_id,product_id,amount,transaction_date,status,channel
23,31802,1,748.51,2025-04-25,completed,online
219,26385,1033,443.75,2025-04-03,failed,online
510,33253,4820,1257.6,2025-10-30,completed,online
1018,48959,4946,1883.21,2025-01-22,failed,online
1221,20583,3258,391.95,2025-10-07,failed,online
1270,27940,3686,1589.26,2025-03-23,completed,online
1296,15122,3427,573.47,2025-05-16,completed,online
1366,31165,2908,1686.5,2025-10-11,failed,online
1395,14882,3617,1785.06,2025-10-12,completed,online
1526,5135,4227,359.21,2025-09-14,completed,online
1599,43672,2102,668.86,2025-07-16,completed,online
1726,33274,1427,155.49,2025-02-06,failed,online
2010,25733,3534,488.19,2025-06-21,completed,online
2131,37,893,1196.38,2025-07-21,completed,online
2489,26864,1604,413.65,2025-01-16,completed,online
3305,19601,1479,1294.42,2025-05-08,failed,online
3674,42377,1,361.46,2025-07-27,failed,online
3708,34808,4150,726.97,2025-06-21,failed,online
3809,43028,1802,32.81,2025-07-06,failed,online
3890,23015,1815,835.55,2025-09-16,completed,online
3893,39808,3050,1644.3,2025-04-15,completed,online
4000,10788,1226,318.78,2025-03-01,completed,online
4184,21814,4277,1775.45,2025-03-14,completed,online
4382,47288,3395,24.63,2025-02-01,completed,online
4566,2612,2873,753.72,2025-05-24,completed,online
4622,40435,4577,837.87,2025-09-11,failed,online
4757,34653,4812,163.0,2025-01-26,completed,online
5203,36875,1085,1296.34,2025-01-23,completed,online
5249,45591,1814,1612.75,2025-10-20,completed,online
5448,15282,4470,941.65,2025-07-08,completed,online
5471,45656,1,375.28,2025-11-16,completed,online
5515,40015,1,590.74,2025-11-26,completed,online
5879,25678,4687,1245.06,2025-09-13,failed,online
5905,15604,3405,626.5,2025-09-26,completed,online
5980,48778,4414,979.96,2025-11-08,completed,online
6023,1838,1,863.6,2025-12-22,completed,online
6251,21051,1,1823.7,2025-10-29,failed,online
7065,12178,2162,1345.77,2025-03-20,failed,online
7173,10683,2466,99.1,2025-09-10,completed,online
8092,11962,1,586.41,2025-04-16,failed,online
8279,18688,815,1608.47,2025-11-29,failed,online
9247,19967,1329,1662.83,2025-02-08,failed,online
9338,48217,2776,265.75,2025-03-17,completed,online
9386,5903,4873,139.87,2025-01-05,completed,online
9569,12168,606,1011.99,2025-02-25,completed,online
9624,20622,4640,1584.59,2025-04-02,failed,online
9904,21542,1096,1427.22,2025-01-22,completed,online
10492,24446,2550,834.53,2025-04-20,failed,online
10850,17361,1,342.69,2025-10-05,completed,online
10952,29044,4861,1265.99,2025-07-02,completed,online
11037,2806,1328,573.81,2025-10-19,completed,online
11353,22458,3383,391.22,2025-04-21,failed,online
11757,34331,3033,166.89,2025-08-18,completed,online
12154,5822,4709,855.47,2025-10-19,failed,online
12167,25244,3107,1370.4,2025-09-11,completed,online
12405,8314,3506,380.08,2025-02-17,completed,online
12975,48495,6,79.27,2025-03-16,failed,online
13012,15114,3457,199.66,2025-07-06,completed,online
13080,24995,3405,200.27,2025-07-11,failed,online
13131,22328,1,197.6,2025-09-04,failed,online
13424,469,1,1210.49,2025-07-14,completed,online
13621,44415,1103,1214.89,2025-02-06,failed,online
13622,28511,249,1094.94,2025-11-11,completed,online
13626,11340,1248,1243.85,2025-12-21,failed,online
13831,38504,451,1581.68,2025-05-27,failed,online
