transaction_id,customer_id,product_id,amount,transaction_date,status,channel
333,45836,1,18.31,2025-02-05,failed,online
394,27819,655,1104.13,2025-03-03,completed,online
545,32651,674,1274.08,2025-12-28,failed,online
719,38886,1,805.74,2025-11-20,failed,online
1184,21121,3503,1715.5,2025-11-12,failed,online
1598,10710,1441,884.86,2025-03-17,failed,online
1789,45189,1401,452.03,2025-06-19,failed,online
1847,5254,2199,1464.67,2025-10-19,completed,online
2077,36709,1,274.6,2025-07-17,failed,online
2167,28716,4038,1810.53,2025-06-14,failed,online
2379,44195,4088,1156.07,2025-07-22,failed,online
2927,47362,4374,1346.58,2025-06-13,completed,online
3110,44105,1,1970.13,2025-07-11,failed,online
3139,2602,2877,740.66,2025-08-04,failed,online
3215,48092,2365,433.82,2025-09-02,failed,online
3363,45550,3012,1933.22,2025-04-19,failed,online
3460,26243,2358,721.76,2025-06-20,completed,online
3828,41930,1368,1469.51,2025-10-23,completed,online
3840,20076,587,531.8,2025-10-28,completed,online
3926,30844,4343,1744.2,2025-04-17,failed,online
4097,49558,1,741.03,2025-03-08,completed,online
4304,44143,1575,100.12,2025-10-17,completed,online
4406,17587,3773,982.39,2025-01-20,failed,online
4823,33599,4512,455.5,2025-07-23,completed,online
5288,16149,1198,1741.45,2025-07-13,failed,online
5303,48605,3996,187.4,2025-05-15,failed,online
5325,10530,1,1308.41,2025-05-19,failed,online
5463,45654,365,1513.18,2025-01-05,completed,online
5702,35099,2585,598.98,2025-04-04,failed,online
5833,12131,1979,657.04,2025-11-15,failed,online
5996,13052,2067,1958.72,2025-04-07,failed,online
6090,3105,4052,1619.96,2025-08-21,failed,online
6222,498,3868,147.26,2025-12-31,failed,online
6795,45566,2685,1377.8,2025-12-14,completed,online
6865,10326,3110,1353.08,2025-03-11,failed,online
6871,27127,1,684.59,2025-11-05,failed,online
6977,24050,3225,1744.94,2025-07-16,completed,online
7026,20418,3711,1091.7,2025-08-16,failed,online
7306,35697,580,1315.43,2025-11-13,failed,online
7384,13696,1277,147.78,2025-10-07,failed,online
7518,23791,1,1212.01,2025-05-27,completed,online
7538,7247,1,1589.12,2025-07-12,failed,online
7541,22522,2951,1721.55,2025-05-14,failed,online
7598,17416,3339,408.45,2025-01-22,failed,online
7954,14705,3947,1628.05,2025-09-26,failed,online
8016,9766,2557,428.73,2025-12-26,completed,online
8048,3626,144,1740.74,2025-02-25,failed,online
8247,41888,1528,576.88,2025-06-26,completed,online
8248,35996,1357,1135.3,2025-07-03,failed,online
8282,13484,3819,259.03,2025-02-26,completed,online
8391,8138,3220,26.51,2025-10-14,failed,online
8488,9047,572,1905.5,2025-02-28,failed,online
8494,36635,1859,1722.36,2025-02-10,completed,online
8503,29472,1359,1834.28,2025-02-16,completed,online
8846,13484,522,638.73,2025-09-06,failed,online
8983,22186,2805,15.65,2025-10-27,completed,online
9104,43328,3627,1958.35,2025-08-24,completed,online
9112,39135,1195,1553.41,2025-07-21,completed,online
9478,9787,69,441.97,2025-02-28,completed,online
9751,7605,4224,1281.32,2025-02-22,failed,online
10048,32956,1,1554.87,2025-07-06,failed,online
10055,32057,2984,950.34,2025-06-05,completed,online
10145,3393,4761,857.9,2025-04-03,failed,online
