product_id,customer_id,transaction_id,amount,status,channel
4985,13922,1369,253.44,failed,online
285,3949,11796,1399.73,failed,online
4822,6129,14851,15.39,completed,online
1,233,16566,1024.98,failed,online
4702,30954,19485,525.87,failed,online
1,14547,20181,218.94,completed,online
3799,39866,21194,5424.171636457984,completed,online
35,25546,29627,920.25,completed,online
1,31373,30825,579.67,completed,online
4940,31466,31937,1430.57,completed,online
3502,35122,32187,1451.73,failed,online
4419,4147,35250,772.15,completed,online
4366,8299,38637,1173.67,failed,online
2433,43949,38936,347.17,completed,online
1,14030,39556,1190.7,failed,online
1,30764,39996,1483.17,failed,online
4937,37076,40371,485.16,failed,online
2383,17857,43986,1640.4,failed,online
2003,3753,45050,1268.49,completed,online
2854,20361,49264,5339.129940895575,completed,online
261,2559,52600,232.1,failed,online
4892,10528,53739,1368.01,completed,online
4171,34319,54436,562.93,completed,online
4855,25919,54499,1500.73,failed,online
293,32408,55274,1701.31,failed,online
1798,344,55936,784.22,completed,online
1,9059,57915,415.16,failed,online
1841,3152,58764,1202.94,failed,online
2332,25564,59783,1499.66,completed,online
2048,21617,65529,1474.8,failed,online
1,25919,66125,1556.17,completed,online
1714,2713,66229,30.61,failed,online
1,35733,68177,341.8,failed,online
4292,44872,69942,1022.8,failed,UNKNOWN
602,31976,70887,1104.44,completed,online
3213,24392,74782,1052.6,failed,online
934,11921,75175,469.25,failed,online
2348,2438,80569,1697.47,failed,online
3251,8298,83117,320.7,completed,online
1,22421,85988,5132.289827206154,failed,online
2622,3875,89093,1347.73,failed,online
1,9667,92837,666.4,completed,online
298,27961,92977,1429.59,failed,online
1,3128,94231,365.88,failed,online
3498,5625,95411,1042.64,completed,online
1,14670,95449,1967.9,completed,online
4833,23342,97287,1791.71,failed,online
1,33107,99869,801.25,completed,online
2044,6179,102140,1538.92,failed,online
2447,42976,102778,1924.44,failed,online
1,19600,103023,1546.14,completed,online
4478,45502,105567,852.44,completed,online
4841,7714,107572,938.33,failed,online
3722,29384,108749,1680.17,failed,online
359,19482,110073,1555.74,completed,online
205,45719,110963,657.47,failed,online
4807,21908,111291,1979.88,failed,online
1873,25890,113534,405.69,failed,online
4600,22060,114615,597.62,completed,online
107,1208,116798,658.13,completed,online
2149,12814,120546,378.41,failed,online
2585,25122,121346,1700.13,failed,online
1562,28007,121395,43.35,failed,online
3933,27529,121562,1964.36,completed,online
297,8721,123565,813.46,failed,online
2474,46933,131611,933.39,failed,online
2172,37864,132993,768.48,completed,online
4915,14333,135795,1178.21,completed,online
411,14809,135850,259.24,completed,online
4075,30919,136566,1905.34,completed,online
4022,1447,138827,1726.15,failed,online
2738,13230,139070,744.09,completed,online
549,5665,141343,340.46,failed,online
1,14518,141575,859.39,completed,online
3380,26722,147412,913.04,failed,online
1529,15747,147957,726.44,completed,online
2576,14818,148387,1631.85,completed,online
2636,29417,148604,1854.7,failed,online
1,42790,149042,1530.2,completed,online
