customer_id,name,region,signup_date,is_current,effective_from,effective_to
1,Customer1,East,2024-09-09,True,2024-09-09,
2,Customer2,West,2025-04-21,True,2025-04-21,
3,Customer3,East,2024-02-20,True,2024-02-20,
4,Customer4,West,2025-05-14,True,2025-05-14,
5,Customer5,Central,2025-01-23,True,2025-01-23,
6,Customer6,East,2024-01-05,True,2024-01-05,
7,Customer7,Central,2025-10-02,True,2025-10-02,
8,Customer8,South,2024-09-06,True,2024-09-06,
9,Customer9,North,2024-12-30,True,2024-12-30,
10,Customer10,West,2024-09-27,True,2024-09-27,
11,Customer11,North,2025-01-30,True,2025-01-30,
12,Customer12,West,2024-12-09,True,2024-12-09,
13,Customer13,West,2024-04-11,True,2024-04-11,
14,Customer14,West,2024-11-13,True,2024-11-13,
15,Customer15,East,2025-01-17,True,2025-01-17,
16,Customer16,East,2024-01-24,True,2024-01-24,
17,Customer17,West,2025-02-07,True,2025-02-07,
18,Customer18,East,2024-03-31,True,2024-03-31,
19,Customer19,South,2024-10-14,True,2024-10-14,
20,Customer20,North,2024-04-08,True,2024-04-08,
21,Customer21,North,2025-11-15,True,2025-11-15,
22,Customer22,East,2025-09-28,True,2025-09-28,
23,Customer23,South,2025-06-12,True,2025-06-12,
24,Customer24,East,2024-02-11,True,2024-02-11,
25,Customer25,West,2025-06-07,True,2025-06-07,
26,Customer26,South,2025-06-22,True,2025-06-22,
27,Customer27,South,2025-06-13,True,2025-06-13,
28,Customer28,South,2024-04-01,True,2024-04-01,
29,Customer29,South,2025-10-18,True,2025-10-18,
30,Customer30,Central,2024-04-04,True,2024-04-04,
31,Customer31,North,2024-04-04,True,2024-04-04,
32,Customer32,South,2024-05-01,True,2024-05-01,
33,Customer33,South,2025-02-04,True,2025-02-04,
34,Customer34,East,2024-03-07,True,2024-03-07,
35,Customer35,North,2024-09-11,True,2024-09-11,
36,Customer36,Central,2024-01-04,True,2024-01-04,
37,Customer37,East,2024-06-25,True,2024-06-25,
38,Customer38,East,2024-10-24,True,2024-10-24,
39,Customer39,West,2025-04-06,True,2025-04-06,
40,Customer40,East,2024-01-20,True,2024-01-20,
41,Customer41,North,2024-02-26,True,2024-02-26,
