product_id,product_name,category,price
3,Product3,Clothing,4481.08
334,Product334,Electronics,3509.22
398,Product398,Home,612.93
415,Product415,Home,2904.96
507,Product507,Books,3413.59
814,Product814,Books,3779.36
823,Product823,Electronics,486.14
1040,Product1040,Sports,74.65
1506,Product1506,Clothing,3872.72
1565,Product1565,Home,3081.49
1775,Product1775,Sports,2458.53
1962,Product1962,Electronics,2150.31
2016,Product2016,Books,303.17
2552,Product2552,Home,2809.31
3179,Product3179,Sports,1339.57
3274,Product3274,Books,1522.13
3560,Product3560,Clothing,2724.34
3889,Product3889,Home,1794.89
4164,Product4164,Clothing,1634.36
4189,Product4189,Home,2170.3
4302,Product4302,Home,396.3
4304,Product4304,Electronics,3360.21
4373,Product4373,Electronics,3029.02
4493,Product4493,Home,3102.56
4712,Product4712,Books,628.96
4901,Product4901,Electronics,3495.3
393,Product393,Sports,1526.18
893,Product893,Sports,1966.11
935,Product935,Clothing,3070.41
938,Product938,Books,3402.11
1202,Product1202,Home,2236.57
1872,Product1872,Sports,3340.57
1937,Product1937,Clothing,4872.34
1978,Product1978,Home,4329.24
2008,Product2008,Home,3393.25
2134,Product2134,Books,1829.81
2615,Product2615,Books,3585.87
2778,Product2778,Home,1826.34
2890,Product2890,Electronics,2331.56
3322,Product3322,Books,4399.19
3505,Product3505,Sports,37.45
3747,Product3747,Books,4365.55
4032,Product4032,Home,1687.31
4046,Product4046,Books,3652.51
4112,Product4112,Sports,478.56
4308,Product4308,Sports,1310.51
4596,Product4596,Electronics,770.08
448,Product448,Electronics,1496.79
563,Product563,Clothing,161.29
735,Product735,Home,951.65
923,Product923,Electronics,1655.83
1014,Product1014,Electronics,998.47
1353,Product1353,Books,4522.5
1517,Product1517,Sports,1747.1
1616,Product1616,Books,349.9
1689,Product1689,Sports,1043.3
1713,Product1713,Books,2185.27
1729,Product1729,Home,1927.91
1793,Product1793,Clothing,2432.54
1849,Product1849,Electronics,1220.92
1885,Product1885,Home,1940.26
2109,Product2109,Home,827.51
2132,Product2132,Home,2886.68
2274,Product2274,Clothing,2783.79
2442,Product2442,Books,2013.72
2481,Product2481,Books,486.63
2532,Product2532,Sports,4819.0
2740,Product2740,Sports,2044.12
2937,Product2937,Electronics,1784.75
2978,Product2978,Electronics,3138.49
3056,Product3056,Sports,3077.51
3432,Product3432,Clothing,1461.68
3648,Product3648,Sports,4676.0
3786,Product3786,Books,1025.45
4695,Product4695,Electronics,3018.82
4847,Product4847,Sports,1769.16
4853,Product4853,Books,3505.1
4924,Product4924,Electronics,2844.5
227,Product227,Books,1379.25
592,Product592,Sports,3583.87
630,Product630,Sports,1163.24
993,Product993,Electronics,401.94
1126,Product1126,Sports,4912.29
1315,Product1315,Clothing,58.84
1667,Product1667,Clothing,2802.06
1882,Product1882,Sports,633.59
2013,Product2013,Home,3038.48
2037,Product2037,Home,1010.46
2135,Product2135,Clothing,4812.98
3151,Product3151,Books,4419.29
3189,Product3189,Clothing,254.45
3197,Product3197,Home,3340.2
3544,Product3544,Sports,4077.43
4230,Product4230,Clothing,1535.89
4269,Product4269,Home,1157.78
4957,Product4957,Clothing,1653.35
2,Product2,Sports,4191.12
112,Product112,Sports,3981.31
231,Product231,Electronics,219.98
235,Product235,Books,4590.69
363,Product363,Sports,3803.07
410,Product410,Sports,489.57
446,Product446,Clothing,1043.15
487,Product487,Books,3559.29
540,Product540,Home,970.28
553,Product553,Sports,203.04
557,Product557,Home,573.45
848,Product848,Electronics,1654.84
862,Product862,Electronics,380.86
863,Product863,Electronics,4220.94
1001,Product1001,Sports,1467.05
1410,Product1410,Books,3909.4
1412,Product1412,Clothing,169.54
1452,Product1452,Books,294.94
1464,Product1464,Home,2155.05
1490,Product1490,Sports,4824.48
1515,Product1515,Electronics,3452.85
1563,Product1563,Electronics,2903.92
1630,Product1630,Books,3446.42
1706,Product1706,Sports,1644.93
1798,Product1798,Books,4994.18
2059,Product2059,Books,1108.31
2144,Product2144,Electronics,4747.31
2949,Product2949,Electronics,1882.5
3066,Product3066,Electronics,1105.64
3068,Product3068,Electronics,3852.58
3230,Product3230,Home,99.76
3342,Product3342,Clothing,3200.12
3358,Product3358,Books,4559.77
3371,Product3371,Electronics,1051.73
3382,Product3382,Electronics,1064.4
3449,Product3449,Home,355.92
3612,Product3612,Sports,2144.56
3894,Product3894,Home,3550.61
4203,Product4203,Clothing,301.19
