transaction_id,customer_id,product_id,amount,transaction_timestamp,status,channel
26714,4134,18,1515.28,2026-01-01 13:35:08,failed,online
80278,4402,321,404.04,2026-01-01 01:11:12,success,store
33751,1317,208,3174.23,2026-01-02 03:15:09,failed,online
89883,4451,228,4816.65,2026-01-02 03:36:06,failed,online
77162,390,367,2562.79,2026-01-01 05:55:44,failed,store
97819,4479,80,4950.77,2026-01-01 23:45:42,failed,store
51681,2827,376,353.01,2026-01-01 13:07:02,failed,store
49272,2030,183,827.09,2026-01-01 04:35:05,failed,store
74377,1557,12,2452.5,2026-01-01 05:26:59,success,online
3310,3212,146,3947.17,2026-01-01 02:16:55,failed,store
5237,74,285,2073.2,2026-01-01 20:01:37,success,online
63460,837,343,3088.2,2026-01-01 00:59:52,failed,store
15648,2748,153,2592.22,2026-01-01 23:03:29,failed,store
94001,2099,43,3893.77,2026-01-01 17:18:51,success,store
23309,3110,368,4103.27,2026-01-02 03:25:24,failed,store
34925,753,137,3961.3,2026-01-01 04:10:43,failed,online
81039,3264,499,188.04,2026-01-01 15:17:44,success,store
26630,4445,125,1764.18,2026-01-01 15:59:27,success,online
25234,1531,429,1830.18,2026-01-02 03:22:21,failed,online
90189,1133,54,3380.79,2026-01-01 02:31:07,failed,online
94734,2373,173,3382.28,2026-01-02 01:02:57,success,online
79648,154,366,1692.6,2026-01-01 18:34:54,success,store
11679,452,298,3659.01,2026-01-01 15:22:18,success,store
88824,911,492,3848.4,2026-01-01 05:00:07,failed,online
83009,4260,314,235.57,2026-01-01 15:04:11,success,store
62183,3584,155,4377.07,2026-01-01 10:06:32,failed,online
40926,2438,56,4570.08,2026-01-01 04:15:40,failed,store
86247,527,455,3499.27,2026-01-01 11:27:42,success,online
82672,2222,338,1355.63,2026-01-01 18:24:25,failed,online
67460,3306,195,2288.32,2026-01-02 00:04:58,success,store
22163,1741,203,2415.88,2026-01-01 14:12:48,success,store
2823,4203,134,4474.93,2026-01-02 00:17:24,failed,store
14379,4631,492,269.24,2026-01-02 01:17:58,failed,online
36796,1184,135,1400.14,2026-01-01 20:06:44,failed,online
16807,3551,148,3551.78,2026-01-01 09:18:13,success,store
17931,4302,28,4776.34,2026-01-01 13:09:42,failed,store
56335,2040,469,2279.34,2026-01-01 01:49:59,failed,online
15865,3942,244,3109.43,2026-01-01 07:43:39,success,store
7873,954,328,1991.13,2026-01-01 08:00:04,failed,online
24363,4138,40,384.46,2026-01-01 22:41:29,success,store
56315,1670,77,2202.58,2026-01-01 03:01:02,success,store
788,4608,250,3456.68,2026-01-01 23:56:35,failed,store
601,1336,478,2239.55,2026-01-01 04:30:01,success,online
29650,1765,252,3130.92,2026-01-02 03:10:04,failed,online
3603,1702,128,2933.49,2026-01-01 20:29:28,success,store
42133,717,378,1789.79,2026-01-01 18:39:14,success,online
27952,3147,91,3514.33,2026-01-01 14:22:03,success,store
85619,4917,155,237.46,2026-01-01 05:20:05,failed,store
65711,241,72,4523.21,2026-01-02 00:46:35,failed,store
35697,4165,244,739.4,2026-01-02 03:45:27,failed,store
27952,4174,475,73.75,2026-01-01 12:57:38,success,store
70972,2322,266,3361.35,2026-01-01 23:47:23,success,online
2722,2685,369,2464.39,2026-01-01 14:27:05,failed,store
92501,4464,151,3071.03,2026-01-01 06:08:48,failed,store
60898,3813,104,3799.29,2026-01-01 17:12:25,failed,store
31928,3363,248,1347.86,2026-01-01 00:31:49,success,store
33704,1467,389,4302.71,2026-01-01 18:20:33,success,store
18286,4329,75,3799.99,2026-01-01 14:00:07,success,online
58589,4083,337,271.93,2026-01-01 10:15:17,success,online
78315,4662,259,1569.26,2026-01-01 02:05:26,failed,store
11291,4666,141,501.25,2026-01-01 14:38:37,failed,online
10539,1412,49,837.29,2026-01-01 05:06:10,failed,store
708,3335,409,3005.56,2026-01-01 23:23:26,failed,online
39148,4085,350,2935.11,2026-01-01 09:06:45,failed,online
58604,4493,158,36.94,2026-01-01 20:25:23,failed,store
23132,65,325,4586.61,2026-01-01 15:10:01,failed,online
94355,1747,302,3153.57,2026-01-01 00:03:00,success,store
29205,4598,1,4384.57,2026-01-01 20:27:11,success,store
57368,3775,181,241.33,2026-01-01 21:36:35,success,online
62685,3465,351,4581.33,2026-01-01 05:27:53,success,store
