customer_id,product_id,amount,transaction_timestamp
24206,3885,538.91,2026-01-01 18:32:26
43307,3808,2884.95,2026-01-01 17:36:04
48879,1210,1634.61,2026-01-01 12:13:36
37891,4707,1798.79,2026-01-01 22:02:08
37815,3388,801.99,2026-01-01 05:36:27
48490,2798,4944.37,2026-01-01 15:14:06
42580,719,3800.0,2026-01-02 03:20:42
13044,4678,3526.66,2026-01-02 00:11:05
35740,1669,1353.57,2026-01-01 11:08:18
17941,3686,2247.85,2026-01-01 04:07:24
37706,4082,3141.26,2026-01-01 13:46:10
12610,2867,1399.77,2026-01-02 03:32:18
9754,1315,3931.96,2026-01-01 07:04:39
8051,2007,3475.62,2026-01-01 18:21:12
46338,3750,1148.45,2026-01-01 02:49:58
48738,3063,4355.8,2026-01-01 08:32:52
48133,1203,4677.67,2026-01-01 00:48:47
20655,1899,4956.61,2026-01-01 12:47:12
903,4379,4839.04,2026-01-01 05:59:32
9414,1018,694.72,2026-01-01 21:39:45
5893,283,367.09,2026-01-02 01:49:49
2552,1791,4680.84,2026-01-01 01:33:09
28878,4157,3712.04,2026-01-01 18:48:59
48615,1255,3416.92,2026-01-01 13:27:42
28285,4310,98.98,2026-01-01 16:07:13
20495,1373,314.2,2026-01-01 16:22:07
1057,3719,585.44,2026-01-02 02:26:16
7708,3212,1678.92,2026-01-01 10:39:47
21558,4869,1603.94,2026-01-01 18:01:06
24749,980,4198.27,2026-01-02 02:06:35
15605,3936,693.35,2026-01-01 22:42:36
4432,1930,412.13,2026-01-02 03:07:10
13139,231,3460.25,2026-01-01 18:37:22
9652,100,3149.05,2026-01-02 03:21:26
8328,2768,970.37,2026-01-01 17:11:10
19535,832,342.25,2026-01-01 16:25:57
39719,1968,4376.36,2026-01-01 21:47:30
43996,2686,4856.35,2026-01-02 01:21:17
30250,3247,2154.8,2026-01-02 02:02:21
31618,3569,4985.3,2026-01-02 01:13:41
41980,3141,4883.18,2026-01-01 05:58:23
25669,1277,2300.84,2026-01-02 00:21:44
42862,4761,1111.35,2026-01-01 14:53:47
49418,4586,3011.98,2026-01-01 14:32:04
15952,4098,2601.26,2026-01-01 21:15:15
17220,1465,2996.84,2026-01-01 23:55:57
10078,3122,2682.64,2026-01-01 18:13:38
28973,3697,4608.23,2026-01-01 02:52:19
28241,1363,4293.61,2026-01-01 01:52:44
2711,4043,2453.98,2026-01-02 03:36:51
48321,3940,709.89,2026-01-01 22:50:51
24048,3131,4461.39,2026-01-01 22:29:35
29042,3306,2575.7,2026-01-01 09:36:22
30388,2184,667.8,2026-01-01 08:52:40
49656,3349,857.53,2026-01-01 08:53:57
16133,521,669.14,2026-01-01 07:09:26
9656,1734,1253.14,2026-01-01 19:55:41
30166,4281,3660.48,2026-01-01 16:49:05
28947,2487,864.71,2026-01-01 15:21:31
27830,2461,2439.49,2026-01-01 01:02:30
34690,4555,176.77,2026-01-01 16:11:52
4981,3037,4683.3,2026-01-01 13:46:34
20402,3351,3753.28,2026-01-01 07:41:25
47227,3559,789.88,2026-01-01 13:56:36
42635,1189,2675.18,2026-01-01 09:40:51
36190,2447,3588.7,2026-01-01 02:56:20
47401,195,1538.27,2026-01-01 08:41:44
26055,3782,766.8,2026-01-01 00:20:33
15504,1116,2192.48,2026-01-02 01:50:25
11225,120,967.17,2026-01-01 06:50:10
46988,2217,2600.84,2026-01-02 01:10:17
34401,581,481.03,2026-01-02 02:06:39
10160,4563,1512.06,2026-01-02 03:31:06
41358,2792,3247.95,2026-01-01 09:37:02
36338,199,4312.95,2026-01-01 12:37:14
17015,4516,4278.59,2026-01-01 08:41:29
3541,1107,1354.96,2026-01-01 04:27:24
32544,3505,2495.6,2026-01-02 01:44:26
9176,1546,2633.19,2026-01-02 02:40:09
35984,1890,2298.56,2026-01-02 00:59:20
21822,3842,821.26,2026-01-01 09:36:35
24771,4120,1789.58,2026-01-01 21:00:51
44289,2183,3476.7,2026-01-01 08:21:01
33109,584,3052.48,2026-01-01 18:01:40
27104,3868,801.35,2026-01-01 00:56:48
23668,3875,4677.99,2026-01-01 05:36:26
49016,1471,1447.89,2026-01-01 18:16:34
23391,1083,641.12,2026-01-01 17:18:52
25970,2943,3262.57,2026-01-01 19:46:49
48423,712,2505.28,2026-01-01 13:21:28
45808,1137,3360.56,2026-01-01 21:59:37
7368,4141,1665.63,2026-01-01 11:21:15
4454,4494,3978.53,2026-01-01 22:08:04
18544,2404,2272.73,2026-01-02 03:00:34
46852,4895,1534.11,2026-01-01 19:28:35
49315,2317,344.99,2026-01-01 07:02:44
11076,3261,1855.88,2026-01-01 08:10:24
15652,4540,1155.13,2026-01-01 08:38:51
4803,2263,3988.57,2026-01-01 03:01:13
2406,4616,1506.92,2026-01-01 16:36:08
48165,4504,2106.3,2026-01-01 07:09:39
22417,1942,584.53,2026-01-01 20:05:57
11702,665,4546.85,2026-01-01 10:35:16
14373,4321,1894.73,2026-01-01 05:36:50
46430,2225,3907.07,2026-01-02 02:59:17
25565,2279,3998.29,2026-01-02 02:57:00
18427,1020,3304.61,2026-01-01 22:48:01
28653,1574,1702.54,2026-01-01 17:07:51
30606,2725,3364.94,2026-01-01 13:49:43
22104,187,3306.12,2026-01-01 14:34:17
9179,939,3881.27,2026-01-01 02:45:01
