customer_id,product_id,amount,transaction_timestamp
35643,3301,2521.56,2026-01-02 00:19:34
12761,1028,3162.58,2026-01-01 05:33:37
7200,2323,2375.01,2026-01-02 03:17:28
29115,4248,102.84,2026-01-01 02:41:32
43966,258,1698.2,2026-01-01 08:44:49
3555,3387,1067.28,2026-01-01 12:58:33
29746,321,3410.49,2026-01-01 15:49:37
32952,3196,2006.55,2026-01-01 23:53:09
25218,4048,949.91,2026-01-01 08:44:49
482,2866,143.58,2026-01-01 02:52:33
28953,418,3234.89,2026-01-01 18:08:46
15334,797,1960.07,2026-01-01 20:07:17
3677,2260,2487.02,2026-01-01 01:45:11
23603,1889,1685.45,2026-01-01 00:24:14
7779,4582,329.61,2026-01-01 02:36:18
7151,1840,538.05,2026-01-01 07:26:57
3947,972,4024.18,2026-01-01 14:48:32
32753,445,912.65,2026-01-01 04:48:44
12995,1121,2593.5,2026-01-01 08:58:51
7738,4852,4268.61,2026-01-01 19:02:41
45457,4348,2458.7,2026-01-01 22:12:54
12439,1586,905.19,2026-01-01 20:50:16
34246,305,3591.36,2026-01-01 02:18:03
21928,4687,2736.12,2026-01-01 21:19:53
16517,2002,1669.88,2026-01-02 00:46:08
4268,1735,918.49,2026-01-01 02:00:41
35443,336,4402.85,2026-01-01 23:48:15
4115,4572,4080.26,2026-01-01 16:52:32
11678,41,4117.23,2026-01-01 20:51:04
6516,3485,240.9,2026-01-01 09:58:17
23294,316,1805.47,2026-01-01 19:50:25
30527,4285,4214.95,2026-01-01 10:36:04
48552,624,3065.32,2026-01-01 13:01:08
101,650,2984.59,2026-01-01 01:21:34
2844,3002,4711.56,2026-01-01 12:47:50
43136,4379,1032.52,2026-01-01 17:50:19
31689,1428,1917.33,2026-01-02 01:52:21
33765,4327,4957.12,2026-01-01 23:28:57
42909,3655,3393.52,2026-01-01 20:09:55
29537,2524,2117.09,2026-01-01 01:15:38
35998,3958,153.8,2026-01-01 10:49:39
19685,686,3654.81,2026-01-01 19:36:19
31467,4826,2172.89,2026-01-01 05:26:52
18424,3614,1498.07,2026-01-01 02:38:59
40675,1075,3861.55,2026-01-01 18:54:54
31334,2169,957.01,2026-01-01 00:36:01
9554,4055,3191.45,2026-01-01 06:44:54
36880,59,4607.88,2026-01-01 05:56:35
5834,2018,1040.31,2026-01-02 00:56:28
31041,769,4738.27,2026-01-01 06:46:13
26823,1723,4121.38,2026-01-01 07:59:26
24179,3666,866.51,2026-01-02 03:02:29
39492,4208,2784.91,2026-01-02 02:52:43
9482,967,843.46,2026-01-01 11:10:16
11036,865,2306.83,2026-01-01 01:53:49
30922,808,1888.1,2026-01-01 10:03:37
17069,2267,4202.28,2026-01-02 00:55:51
37573,1166,1973.07,2026-01-01 07:50:14
6413,1570,2817.08,2026-01-01 07:46:47
42354,508,850.09,2026-01-01 17:49:37
24615,4830,4342.97,2026-01-01 11:13:22
23321,39,111.72,2026-01-01 14:40:28
12043,3754,4097.92,2026-01-01 11:28:43
30126,4459,4040.59,2026-01-01 03:41:13
17235,3020,4211.35,2026-01-01 14:36:40
22361,1769,4821.83,2026-01-01 20:01:59
7013,1826,1597.14,2026-01-01 09:34:50
12611,2954,2120.6,2026-01-01 21:46:31
10005,1106,3866.03,2026-01-02 00:21:14
29120,1399,4932.82,2026-01-01 01:54:00
18357,3512,1453.52,2026-01-01 12:47:02
4919,2111,327.04,2026-01-02 03:42:15
13857,2483,2429.36,2026-01-01 02:18:51
1564,1017,654.6,2026-01-01 02:58:21
12711,242,1999.64,2026-01-01 08:35:16
14849,2153,468.71,2026-01-01 06:00:48
42411,1271,741.45,2026-01-01 13:29:20
3225,1074,125.71,2026-01-01 14:44:13
29987,1395,3409.89,2026-01-01 15:02:48
1331,977,1354.69,2026-01-01 07:40:51
38256,1182,130.15,2026-01-01 13:56:42
35705,1881,1366.4,2026-01-02 01:00:50
38215,982,562.73,2026-01-01 03:20:07
32980,3209,1211.77,2026-01-01 06:38:43
11636,3381,2340.31,2026-01-01 17:09:48
26010,3141,1623.76,2026-01-01 09:22:11
10547,3686,3366.01,2026-01-01 09:04:26
6185,4606,4806.57,2026-01-01 17:25:56
12038,705,4622.39,2026-01-01 20:00:41
6228,3626,3351.34,2026-01-01 04:53:49
284,203,1858.34,2026-01-02 02:09:31
5333,3211,3992.52,2026-01-01 12:39:22
4304,3813,1376.34,2026-01-01 21:03:07
2187,2230,641.22,2026-01-01 13:04:31
20652,3700,1465.74,2026-01-02 00:28:15
40326,4316,1079.29,2026-01-01 09:51:48
4337,1923,4146.27,2026-01-01 13:10:11
28133,2515,2015.45,2026-01-01 00:19:42
12788,3630,2831.87,2026-01-01 21:05:33
31749,4887,1461.52,2026-01-01 10:15:21
44726,932,2131.57,2026-01-01 14:20:29
25970,2415,1305.63,2026-01-01 02:42:04
23861,3769,4474.12,2026-01-01 19:54:42
16065,1524,1596.28,2026-01-01 10:48:54
16591,3740,1582.93,2026-01-01 03:07:02
35740,4575,4145.37,2026-01-01 00:01:15
46127,1683,3333.37,2026-01-01 00:07:11
33980,1709,2929.02,2026-01-01 17:52:15
43078,1868,4323.97,2026-01-01 16:22:59
