transaction_id,customer_id,product_id,amount,transaction_timestamp,status,channel
68414,4654,483,3110.37,2026-01-01 08:07:22,success,store
64402,2687,248,3156.19,2026-01-02 03:12:12,failed,store
87782,2908,149,4451.97,2026-01-01 10:58:45,success,online
48274,419,412,1127.18,2026-01-02 02:54:26,success,store
90805,334,365,3563.54,2026-01-01 23:47:06,success,online
87864,3321,5,100.57,2026-01-01 06:49:04,failed,online
72672,1044,105,2281.85,2026-01-01 23:49:52,failed,online
11744,449,241,328.34,2026-01-01 21:24:11,failed,online
43659,4861,411,652.01,2026-01-01 16:13:52,success,online
51601,720,212,584.64,2026-01-01 00:26:09,success,store
57339,2382,81,4839.7,2026-01-01 09:51:37,success,online
32260,250,450,1996.06,2026-01-01 20:04:24,success,store
14711,4889,213,4880.5,2026-01-01 09:24:35,success,online
49546,1951,381,2059.23,2026-01-01 13:24:30,failed,online
6594,4790,164,787.56,2026-01-01 11:04:03,success,online
89901,4425,228,1611.14,2026-01-01 17:47:17,success,online
23737,4477,187,4462.83,2026-01-01 00:52:17,failed,store
73621,2072,144,714.61,2026-01-01 20:13:18,failed,online
39774,3548,338,4304.46,2026-01-01 00:31:33,failed,online
62110,3363,412,4486.81,2026-01-01 11:03:58,failed,store
89416,3217,105,2732.14,2026-01-01 14:05:17,success,store
97602,266,104,1882.49,2026-01-01 15:34:48,success,store
41954,4324,327,2670.28,2026-01-01 14:36:52,success,store
10543,1213,314,1416.55,2026-01-01 00:16:00,failed,store
31872,3855,364,1108.68,2026-01-02 01:07:53,success,store
13855,1117,468,2247.92,2026-01-01 19:09:24,success,store
3489,2350,398,2434.87,2026-01-01 23:39:32,failed,store
59424,1021,28,55.05,2026-01-01 20:25:39,failed,store
43085,488,256,694.42,2026-01-01 04:42:42,failed,online
72954,260,243,1627.81,2026-01-01 08:52:50,failed,online
59535,1720,388,1346.77,2026-01-02 01:38:46,success,online
48189,2636,483,687.55,2026-01-01 11:15:27,success,online
65394,1812,247,2048.16,2026-01-01 23:57:00,failed,store
89741,297,317,3212.86,2026-01-01 07:20:34,success,store
