product_id,customer_id,transaction_id,amount,status,channel
3183,5694,3067,1544.26,failed,online
4559,47618,4464,1822.36,completed,online
4292,4413,6161,682.77,failed,online
1,18931,6520,1380.32,failed,online
1255,16954,6687,798.87,failed,online
4178,41113,7660,1127.11,completed,online
4702,5958,8385,707.21,failed,online
2016,119,9894,1120.03,failed,online
4329,29096,10088,1142.19,failed,online
3602,12022,11184,1219.44,completed,online
3038,3639,12475,1540.06,completed,UNKNOWN
130,2606,13630,1711.45,failed,UNKNOWN
3408,48155,15367,818.3,failed,online
1,17079,16081,1689.68,completed,online
475,3674,19449,1026.88,completed,UNKNOWN
1,21216,20096,835.41,completed,online
2078,6024,20304,226.15,failed,online
1796,3465,27604,977.84,completed,online
1,29266,29252,77.43,failed,online
3076,15567,31168,177.04,completed,online
691,37603,31541,1522.65,completed,online
3275,45863,31728,1091.37,completed,online
1214,23515,34381,22.11,completed,online
2246,37617,41959,1240.33,failed,online
2957,22235,43475,220.85,failed,online
1,35182,43480,1991.64,failed,online
3771,27221,46066,914.27,completed,online
2382,35387,46595,611.53,failed,online
950,2739,50315,1963.46,completed,online
3469,27949,50690,975.26,failed,online
1,12848,52972,1761.88,failed,online
1,9484,54144,1644.01,completed,online
1110,27652,54286,66.54,failed,online
1,25074,55888,851.79,completed,online
2274,9413,55917,1354.18,failed,online
1,33815,56445,1331.2,completed,online
695,13306,56618,1565.81,failed,online
1154,7629,60225,1671.01,failed,online
1653,1780,60799,1777.17,failed,online
3016,24490,62481,1803.03,completed,online
3016,35222,63160,692.69,completed,online
1,17945,63190,1837.84,completed,online
1901,34830,63966,1364.71,completed,online
4585,7433,64478,1563.51,failed,online
3939,37938,65006,925.25,failed,online
2040,26209,66634,900.5,completed,online
3643,24283,68844,1064.41,failed,online
585,5594,70413,224.49,completed,online
3114,28250,72999,436.85,failed,online
4403,3845,74391,384.41,completed,online
4037,25005,75742,746.54,completed,online
1779,45378,76061,1658.95,failed,online
1466,3507,80054,1311.1,completed,online
850,47458,81749,933.85,failed,online
1754,49463,82131,407.54,completed,online
3810,42975,83132,435.65,completed,online
1868,38425,86302,274.74,failed,online
459,37840,86392,618.35,failed,online
4195,22459,86924,1350.3,failed,online
1,48755,90010,537.07,completed,online
653,39376,92561,214.86,completed,online
3866,38570,95086,152.12,failed,online
2458,32668,97316,98.79,completed,online
3077,6520,99763,72.93,failed,online
3981,1513,99859,164.84,completed,online
1,39641,102005,922.24,failed,online
3290,30404,103961,558.99,failed,online
1,23969,105734,145.7,failed,online
2089,29708,107177,1439.15,failed,online
1660,9163,110678,26.31,completed,online
1965,1933,112058,6227.71874888028,failed,online
2806,23706,113243,1595.57,failed,online
1,11008,115222,248.56,completed,online
3612,2244,116633,1809.09,completed,online
1543,25570,119104,811.05,failed,online
3591,41311,119729,1643.11,completed,online
924,24821,120632,1005.9,failed,online
1,13775,120921,701.18,failed,online
4691,26194,125916,577.65,completed,online
1,31339,126919,1655.92,completed,online
1950,13684,127616,1383.64,failed,online
1,2228,131352,496.06,completed,online
912,5665,132023,1321.81,completed,online
2465,12543,132840,883.02,completed,online
3287,345,133009,247.7,failed,online
2063,48870,134688,927.21,completed,online
874,14311,137350,818.64,failed,online
4089,9802,137494,984.36,failed,online
3206,25884,137837,1299.93,completed,online
1555,16087,137939,836.75,failed,online
1,8924,139080,1367.64,completed,online
1462,10025,139385,1086.06,failed,online
783,35291,142307,1078.65,completed,online
2465,40725,142936,496.63,completed,online
2993,43702,143346,1353.55,completed,online
3463,41119,143893,1603.9,failed,online
2565,45491,146761,1536.45,completed,online
3586,40905,149418,1377.8,completed,online
1,43182,149664,607.06,failed,online
4786,21448,149726,591.44,failed,UNKNOWN
